url,한글title,영문title,스크린뷰
https://mweb2.lottecard.co.kr/app/LPBNFTB_V100.lc,혜택>롯데카드플랜할인>플랜할인내역_신청후(1회차),app>LPBNFTB_V100.lc,10826
https://mweb2.lottecard.co.kr/spa/card/card-issue/card-use-rg/cert,카드>카드발급/수령>본인인증(비로그인시),spa>card>card-issue>card-use-rg>cert,10817
https://mcapp.lottecard.co.kr/front/corpmenu/,법인>법인메뉴,front>corpmenu,10758
https://mweb2.lottecard.co.kr/spa/my/account-change-success,MY>결제계좌조회/변경>결제계좌조회/변경완료,spa>my>account-change-success,10719
https://m.lottecard.co.kr/spa/card/card-apl/card-ineligible,카드>카드안내/신청>부적격,spa>card>card-apl>card-ineligible,10699
https://m.lottecard.co.kr/spa/card/card-apl/card-billing-statement,카드>신용카드>이용대금명세서 수신,spa>card>card-apl>card-billing-statement,10690
https://m.lottecard.co.kr/spa/card/card-apl/card-select-destination,카드>신용카드>배송지선택,spa>card>card-apl>card-select-destination,10641
https://mweb2.lottecard.co.kr/spa/my/noti-service,MY>알림서비스>알림서비스,spa>my>noti-service,10621
https://mweb2.lottecard.co.kr/front/satellite/thing/,띵콘텐츠,front>satellite>thing,10357
https://mweb2.lottecard.co.kr/spa/my/noti-setting/psnl-credit,MY>알림설정>개인/신용정보수집이용제공동의및동의철회,spa>my>noti-setting>psnl-credit,10269
https://mweb2.lottecard.co.kr/app/LPCSTAL_V100.lc,고객센터>결제승인이의제기신청,app>LPCSTAL_V100.lc,10113
https://mweb2.lottecard.co.kr/front/card/basic/credit/info/loca365/,카드안내>신용카드>안내>loca365,front>card>basic>credit>info>loca365,9956
https://mweb2.lottecard.co.kr/app/LPCSTBA_V200.lc,고객센터>이메일상담,app>LPCSTBA_V200.lc,9809
https://mweb2.lottecard.co.kr/app/LPPAYCA_V300.lc,정기결제>안심쇼핑>안심쇼핑_이용중,정기결제>안심쇼핑>안심쇼핑_이용중,9800
https://mweb2.lottecard.co.kr/app/SettingCardManagementFragment,로카페이>설정>등록카드관리,로카페이>설정>등록카드관리,9790
https://mweb2.lottecard.co.kr/app/AppCardMobilePhoneAuthFragment,로카페이>등록>본인인증(휴대폰인증),로카페이>등록>본인인증(휴대폰인증),9770
https://mweb2.lottecard.co.kr/front/finance/loans/long-term/apply-completed,금융>장기카드대출>신청완료,front>finance>loans>long-term>apply-completed,9712
https://mweb2.lottecard.co.kr/app/AppcardRegistActivity,로카페이>메인>앱카드미등록대상>앱카드등록안내(모든카드가BL),로카페이>메인>앱카드미등록대상>앱카드등록안내(모든카드가BL),9624
